Designator,Mid X (mm),Mid Y (mm),Layer,Rotation
75k1,138.62,-106.1341,Top,-90.0
CLK_EC_OSC_DIVIDER1,102.839,-106.1701,Top,-90.0
C_EC_CLK_NEG1,98.939,-101.6901,Top,0.0
C_EC_CLK_POS1,107.339,-110.9451,Top,-90.0
C_EC_CLK_SET1,98.339,-111.2901,Top,90.0
C_EC_OUT_FILTER_A1,92.039,-109.2901,Top,0.0
C_EC_OUT_FILTER_B1,92.039,-105.2901,Top,180.0
C_INV3_FLY1,111.739,-111.5901,Top,180.0
C_INV3_IN_BULK1,115.439,-114.7901,Top,-90.0
C_INV3_IN_DECOUP1,111.639,-117.0901,Top,0.0
C_INV3_OUT_BULK1,111.739,-109.7901,Top,180.0
C_INV3_OUT_DECOUP1,111.794,-108.1901,Top,180.0
C_INV5_BULK1,130.62,-120.0841,Top,0.0
C_INV5_BULK2,130.62,-106.0841,Top,0.0
C_OP_EC_NEG_BULK1,108.039,-124.2901,Top,180.0
C_OP_EC_NEG_DECOUP1,108.039,-126.2901,Top,180.0
C_OP_EC_POS_BULK1,108.064,-122.0401,Top,180.0
C_OP_EC_POS_DECOUP1,108.039,-120.2901,Top,180.0
C_PH_FEEDBACK_FILTER1,138.37,-119.8141,Top,90.0
C_PH_IB_NEG_BULK1,161.37,-119.5841,Top,0.0
C_PH_IB_NEG_DECOUP1,161.37,-121.8341,Top,0.0
C_PH_IB_POS_BULK1,162.37,-135.5841,Top,180.0
C_PH_IB_POS_DECOUP1,162.44,-137.8341,Top,180.0
C_PH_INPUT_FILTER1,150.85,-123.5841,Top,180.0
C_PH_OUT_NEG_BULK1,162.12,-109.8341,Top,90.0
C_PH_OUT_NEG_DECOUP1,165.87,-109.6791,Top,90.0
C_PH_OUT_POS_BULK1,154.37,-102.8341,Top,0.0
C_PH_OUT_POS_DECOUP1,154.19,-104.5841,Top,0.0
C_PUMP3_IN_BULK1,119.614,-112.3276,Top,0.0
C_PUMP3_IN_DECOUP1,119.639,-110.7276,Top,0.0
C_PUMP3_OUT_BULK1,119.6912,-105.0069,Top,0.0
C_PUMP3_OUT_DECOUP1,119.639,-103.4901,Top,0.0
C_TEMP_DECOUP1,97.8925,-86.1541,Top,180.0
D_EC_CLAMP_B_N1,90.039,-118.2901,Top,180.0
D_EC_CLAMP_B_P1,90.039,-114.2901,Top,0.0
D_EC_CLAMP_D_N1,90.039,-122.2901,Top,180.0
D_EC_CLAMP_D_P1,90.039,-126.2901,Top,180.0
D_EC_OUT_CLAMP_SCHOTTKY1,92.039,-103.2901,Top,180.0
INV_3V1,111.639,-114.5901,Top,0.0
INV_5V1,130.12,-113.3341,Top,90.0
OP_EC_1,100.039,-123.2901,Top,-90.0
OP_PH_OUTPUT1,155.12,-110.0841,Top,90.0
PUMP_3V1,119.639,-108.0901,Top,-90.0
R_EC_BIAS_LEAK1,94.664,-135.0676,Top,90.0
R_EC_CLK_OUT1,102.186,-111.2901,Top,90.0
R_EC_CLK_SET_10,99.639,-111.2901,Top,90.0
R_EC_CLK_SET_100,100.939,-111.2901,Top,90.0
R_EC_FB_A1,102.789,-116.7901,Top,-90.0
R_EC_FB_B1,84.89,-119.2901,Top,-90.0
R_EC_FB_C1,97.039,-129.2901,Top,180.0
R_EC_FB_D1,84.89,-122.2901,Top,90.0
R_EC_IN_B1,84.89,-125.2901,Top,90.0
R_EC_IN_D1,100.039,-129.2901,Top,0.0
R_EC_OUT_FILTER_A1,92.039,-111.2901,Top,180.0
R_EC_OUT_FILTER_B1,92.039,-107.2901,Top,0.0
R_LED1,100.1,-61.1,Top,0.0
R_PH_BIAS_LEAK1,150.87,-121.8341,Top,0.0
R_PH_FB1,146.12,-108.0841,Top,90.0
R_PH_GAIN_SET1,138.62,-113.3591,Top,90.0
R_PH_IN1,138.62,-109.8841,Top,90.0
R_PH_OFFSET_REF1,130.04,-137.2341,Top,90.0
R_TEMP_PULLUP1,97.0725,-78.8791,Top,90.0
